Date,Open,High,Low,Close,Adj Close,Volume
2021-04-06,0.059689,0.065050,0.058094,0.064458,0.064458,2608613912
2021-04-07,0.064454,0.067299,0.057641,0.059028,0.059028,2857060849
2021-04-08,0.059036,0.061745,0.058817,0.061464,0.061464,1055257541
2021-04-09,0.061463,0.063910,0.060296,0.061684,0.061684,1060465774
2021-04-10,0.061591,0.065068,0.060818,0.063845,0.063845,1369793118
2021-04-11,0.063749,0.079243,0.063203,0.074649,0.074649,6646627317
2021-04-12,0.074544,0.074986,0.068889,0.070767,0.070767,2687720380
2021-04-13,0.070678,0.095181,0.070678,0.093445,0.093445,7176815090
2021-04-14,0.094256,0.142510,0.092452,0.121517,0.121517,20977679327
2021-04-15,0.121167,0.187326,0.120736,0.182207,0.182207,17916620386
2021-04-16,0.181587,0.437700,0.180488,0.365870,0.365870,69410680685
2021-04-17,0.366098,0.374455,0.236524,0.284173,0.284173,31413404067
2021-04-18,0.285105,0.349918,0.246440,0.320475,0.320475,23464350388
2021-04-19,0.320466,0.431751,0.309080,0.407318,0.407318,30641432779
2021-04-20,0.408435,0.422347,0.271618,0.319500,0.319500,28130646191
2021-04-21,0.316953,0.346966,0.297036,0.306925,0.306925,12723463706
2021-04-22,0.305990,0.308757,0.256276,0.260967,0.260967,11879823706
2021-04-23,0.261023,0.268378,0.163669,0.248509,0.248509,16165566164
2021-04-24,0.249544,0.289390,0.229891,0.270212,0.270212,11057578568
2021-04-25,0.269789,0.288771,0.226301,0.251111,0.251111,6849914675
2021-04-26,0.251240,0.280452,0.248026,0.270674,0.270674,5118886527
2021-04-27,0.271427,0.279629,0.264928,0.272188,0.272188,3590611310
2021-04-28,0.272273,0.344662,0.256231,0.323682,0.323682,14464343767
2021-04-29,0.323232,0.323881,0.296904,0.305169,0.305169,5027354503
2021-04-30,0.304702,0.339757,0.302981,0.337561,0.337561,5290390982
2021-05-01,0.337559,0.397135,0.328290,0.392987,0.392987,10123343703
2021-05-02,0.391087,0.400029,0.364874,0.376046,0.376046,8040406918
2021-05-03,0.373631,0.445567,0.373631,0.441707,0.441707,10526649978
2021-05-04,0.440274,0.605998,0.400800,0.541334,0.541334,38238126181
2021-05-05,0.537355,0.695262,0.523822,0.657633,0.657633,42525098292
2021-05-06,0.652842,0.663616,0.545102,0.580804,0.580804,18989900291
2021-05-07,0.581110,0.731972,0.520174,0.684777,0.684777,28615083657
2021-05-08,0.687801,0.737567,0.608168,0.636439,0.636439,25555125135
2021-05-09,0.635820,0.697625,0.425706,0.570070,0.570070,46138063928
2021-05-10,0.569687,0.569687,0.421291,0.449964,0.449964,16514521828
2021-05-11,0.450488,0.546651,0.445034,0.495231,0.495231,14566975476
2021-05-12,0.493742,0.519975,0.385376,0.385376,0.385376,8621337859
2021-05-13,0.392176,0.519461,0.357175,0.490374,0.490374,18663174069
2021-05-14,0.487070,0.589690,0.464622,0.559604,0.559604,20466177002
2021-05-15,0.559668,0.562676,0.491299,0.507972,0.507972,9836892944
2021-05-16,0.507910,0.548145,0.451023,0.514895,0.514895,9541552064
2021-05-17,0.513413,0.515221,0.458551,0.487892,0.487892,7330830504
2021-05-18,0.486954,0.515599,0.470384,0.476115,0.476115,4802902841
2021-05-19,0.476435,0.684735,0.218267,0.333123,0.333123,15072620946
2021-05-20,0.330252,0.433192,0.296253,0.400194,0.400194,12415484460
2021-05-21,0.398124,0.411975,0.314766,0.359382,0.359382,7452862203
2021-05-22,0.358717,0.360517,0.318169,0.342371,0.342371,5243222352
2021-05-23,0.342522,0.350863,0.249437,0.308071,0.308071,7143545371
2021-05-24,0.306715,0.371485,0.296291,0.366162,0.366162,6821088755
2021-05-25,0.366041,0.380010,0.323497,0.346302,0.346302,5544552739
2021-05-26,0.346474,0.365724,0.340782,0.347167,0.347167,3584272640
