vacc_date,zipcode,count_given,dose_nbr,protocol
2020-12-30,,18.0,1.0,two-shot
2020-12-30,,1.0,2.0,two-shot
2020-12-31,37013.0,70.0,1.0,two-shot
2020-12-31,37072.0,40.0,1.0,two-shot
2020-12-31,37076.0,43.0,1.0,two-shot
2020-12-31,37080.0,3.0,1.0,two-shot
2020-12-31,37115.0,35.0,1.0,two-shot
2020-12-31,37115.0,1.0,2.0,two-shot
2020-12-31,37138.0,32.0,1.0,two-shot
2020-12-31,37189.0,3.0,1.0,two-shot
2020-12-31,37203.0,53.0,1.0,two-shot
2020-12-31,37204.0,36.0,1.0,two-shot
2020-12-31,37205.0,42.0,1.0,two-shot
2020-12-31,37206.0,39.0,1.0,two-shot
2020-12-31,37206.0,1.0,2.0,two-shot
2020-12-31,37207.0,51.0,1.0,two-shot
2020-12-31,37208.0,26.0,1.0,two-shot
2020-12-31,37209.0,99.0,1.0,two-shot
2020-12-31,37209.0,1.0,2.0,two-shot
2020-12-31,37210.0,16.0,1.0,two-shot
2020-12-31,37211.0,74.0,1.0,two-shot
2020-12-31,37212.0,54.0,1.0,two-shot
2020-12-31,37213.0,1.0,1.0,two-shot
2020-12-31,37214.0,39.0,1.0,two-shot
2020-12-31,37215.0,35.0,1.0,two-shot
2020-12-31,37216.0,45.0,1.0,two-shot
2020-12-31,37217.0,17.0,1.0,two-shot
2020-12-31,37218.0,13.0,1.0,two-shot
2020-12-31,37219.0,6.0,1.0,two-shot
2020-12-31,37220.0,14.0,1.0,two-shot
2020-12-31,37221.0,96.0,1.0,two-shot
2020-12-31,37228.0,1.0,1.0,two-shot
2020-12-31,,6.0,1.0,two-shot
2021-01-01,37013.0,8.0,1.0,two-shot
2021-01-01,37072.0,6.0,1.0,two-shot
2021-01-01,37072.0,1.0,2.0,two-shot
2021-01-01,37076.0,9.0,1.0,two-shot
2021-01-01,37076.0,6.0,2.0,two-shot
2021-01-01,37080.0,2.0,1.0,two-shot
2021-01-01,37115.0,2.0,1.0,two-shot
2021-01-01,37138.0,5.0,1.0,two-shot
2021-01-01,37189.0,1.0,1.0,two-shot
2021-01-01,37189.0,1.0,2.0,two-shot
2021-01-01,37203.0,1.0,1.0,two-shot
2021-01-01,37203.0,1.0,2.0,two-shot
2021-01-01,37204.0,3.0,1.0,two-shot
2021-01-01,37204.0,1.0,2.0,two-shot
2021-01-01,37205.0,21.0,1.0,two-shot
2021-01-01,37205.0,4.0,2.0,two-shot
2021-01-01,37206.0,4.0,1.0,two-shot
2021-01-01,37206.0,1.0,2.0,two-shot
2021-01-01,37207.0,11.0,1.0,two-shot
2021-01-01,37207.0,2.0,2.0,two-shot
2021-01-01,37208.0,1.0,1.0,two-shot
2021-01-01,37208.0,1.0,2.0,two-shot
2021-01-01,37209.0,8.0,1.0,two-shot
2021-01-01,37209.0,3.0,2.0,two-shot
2021-01-01,37210.0,1.0,1.0,two-shot
2021-01-01,37211.0,7.0,1.0,two-shot
2021-01-01,37211.0,2.0,2.0,two-shot
2021-01-01,37212.0,6.0,1.0,two-shot
2021-01-01,37212.0,1.0,2.0,two-shot
2021-01-01,37214.0,11.0,1.0,two-shot
2021-01-01,37215.0,25.0,1.0,two-shot
2021-01-01,37215.0,3.0,2.0,two-shot
2021-01-01,37216.0,5.0,1.0,two-shot
2021-01-01,37216.0,2.0,2.0,two-shot
2021-01-01,37217.0,5.0,1.0,two-shot
2021-01-01,37218.0,2.0,1.0,two-shot
2021-01-01,37219.0,1.0,1.0,two-shot
2021-01-01,37220.0,4.0,1.0,two-shot
2021-01-01,37221.0,20.0,1.0,two-shot
2021-01-01,37221.0,6.0,2.0,two-shot
2021-01-02,37013.0,69.0,1.0,two-shot
2021-01-02,37027.0,3.0,1.0,two-shot
2021-01-02,37072.0,62.0,1.0,two-shot
2021-01-02,37076.0,55.0,1.0,two-shot
2021-01-02,37080.0,8.0,1.0,two-shot
2021-01-02,37115.0,43.0,1.0,two-shot
2021-01-02,37115.0,1.0,2.0,two-shot
