address,vicinity,name,type
"205 29th Ave N, Nashville","205 29th Avenue North, Nashville",pain buster clinic,"['health', 'point_of_interest', 'establishment']"
"205 29th Ave N, Nashville","205 29th Avenue North, Nashville",Doctor's Diet Program Nashville TN,"['doctor', 'health', 'point_of_interest', 'establishment']"
"205 29th Ave N, Nashville","205 29th Avenue North, Nashville",Hammerman Stephen MD,"['doctor', 'health', 'point_of_interest', 'establishment']"
"205 29th Ave N, Nashville","205 29th Avenue North, Nashville",Doctor's Diet Program Parthenon Nashville TN,"['doctor', 'health', 'point_of_interest', 'establishment']"
"6601 Sugar Valley Dr, Nashville","6601 Sugar Valley Drive, Nashville",Dippity DO Dog,"['point_of_interest', 'establishment']"
"6601 Sugar Valley Dr, Nashville","6601 Sugar Valley Drive #104, Nashville",RISE | Juice + Fitness,"['food', 'gym', 'health', 'point_of_interest', 'establishment']"
"6601 Sugar Valley Dr, Nashville","6601 Sugar Valley Drive #101, Nashville",Southside Grill,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"6601 Sugar Valley Dr, Nashville","6601 Sugar Valley Drive #108, Nashville",Vogue Nails Of Sugar Valley,"['beauty_salon', 'point_of_interest', 'establishment']"
"2001 Riverside Dr, Old Hickory","2001 Lakeshore Drive, Old Hickory",Sam's Sports Grill - Blue Turtle Bay,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']"
"2001 Riverside Dr, Old Hickory","2001 Riverside Drive, Old Hickory",Blue Turtle Bay Marina,"['point_of_interest', 'establishment']"
"2001 Riverside Dr, Old Hickory","2001 Lakeshore Drive, Old Hickory",ATM,"['atm', 'finance', 'point_of_interest', 'establishment']"
"2001 Riverside Dr, Old Hickory","2001-2007 Riverside Drive, Old Hickory",Old Hickory Pokerrun,"['point_of_interest', 'establishment']"
"7629 Old Harding Pike, Nashville","7629 Old Harding Pike, Nashville",Driving Range,"['point_of_interest', 'establishment']"
"7629 Old Harding Pike, Nashville","7629 Old Harding Pike, Nashville",Harpeth Valley Golf Center,"['point_of_interest', 'establishment']"
"5653 Frist Blvd, Hermitage","5653 Frist Boulevard #434, Hermitage","Jill Tichy, M.D.","['doctor', 'health', 'point_of_interest', 'establishment']"
"5653 Frist Blvd, Hermitage","5653 Frist Boulevard #239, Hermitage",Lift Body Center,"['doctor', 'health', 'point_of_interest', 'establishment']"
"5653 Frist Blvd, Hermitage","5653 Frist Boulevard #738, Hermitage","Tennessee Women's Care, PC","['health', 'point_of_interest', 'establishment']"
"5653 Frist Blvd, Hermitage","5653 Frist Boulevard #630, Hermitage",SUMMIT MEDICAL CENTER,"['health', 'point_of_interest', 'establishment']"
"5653 Frist Blvd, Hermitage","5653 Frist Boulevard Suite 738, Hermitage","Logan Williams, MD","['doctor', 'health', 'point_of_interest', 'establishment']"
"103 Sanders Ferry Rd, Nan","103 Sanders Ferry Road, Hendersonville",Lakeside barber shop,"['hair_care', 'health', 'point_of_interest', 'establishment']"
"2312 Dickerson Pike, Nashville","2312 Dickerson Pike, Nashville",Sonic Drive-In,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
"2255 Murfreesboro Pike, Nashville","2255b Murfreesboro Pike Ste B, Nashville",Papa John's Pizza,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"2255 Murfreesboro Pike, Nashville","2255 Murfreesboro Pike, Nashville",Hollywood Beauty Supply,"['hair_care', 'point_of_interest', 'store', 'establishment']"
"1886 Eastland Ave, Nashville","1886 Eastland Avenue, Nashville",Ugly Mugs Coffee & Tea,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']"
"2621 Eugenia Ave, Nashville","2621 Eugenia Avenue, Nashville",Cargill,"['food', 'point_of_interest', 'establishment']"
"160 Antioch Pike, Nashville","160 Antioch Pike, Nashville",Glencliff High School,"['secondary_school', 'school', 'point_of_interest', 'establishment']"
"160 Antioch Pike, Nashville","160 Antioch Pike, Nashville",Glencliff Cluster Enrollment Center,"['point_of_interest', 'establishment']"
"160 Antioch Pike, Nashville","160 Antioch Pike, Nashville",Spirit and Truth Believers Fellowship,"['church', 'place_of_worship', 'point_of_interest', 'establishment']"
"3815 Hillsboro Pike, Nashville","3815 Hillsboro Pike, Nashville",ATM (TMG),"['atm', 'finance', 'point_of_interest', 'establishment']"
"3815 Hillsboro Pike, Nashville","3815 Hillsboro Rd, Nashville",TIGERMARKET #228,"['gas_station', 'point_of_interest', 'establishment']"
"3815 Hillsboro Pike, Nashville","3815 Hillsboro Pike, Nashville",Tiger Market,"['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
"8207 TN-100, Nashville","8207 Tennessee 100, Nashville",The Lodge at Natchez Trace,"['health', 'point_of_interest', 'establishment']"
"5520 Old Hickory Blvd, Hermitage","5520 Old Hickory Boulevard, Hermitage",Beauty Supply,"['hair_care', 'point_of_interest', 'store', 'establishment']"
"6399 Marrowbone Lake Rd, Joelton","6399-6301 Marrowbone Lake Road, Joelton",Fishing License And Bait Shop,"['point_of_interest', 'establishment']"
"2130 Gallatin Pike N, Madison","2130 Gallatin Pike North, Madison",DSW Designer Shoe Warehouse,"['shoe_store', 'point_of_interest', 'store', 'establishment']"
"2130 Gallatin Pike N, Madison","2130 Gallatin Pike North, Madison",Acceptance Now,"['point_of_interest', 'establishment']"
"2130 Gallatin Pike N, Madison","2130 Gallatin Pike North, Madison",American Signature Furniture,"['furniture_store', 'home_goods_store', 'point_of_interest', 'store', 'establishment']"
"4106 Kennedy Ave, Nashville","4106 Kennedy Avenue, Nashville",Dan Mills Elementary School,"['primary_school', 'school', 'point_of_interest', 'establishment']"
"901 Gleaves St, Nashville","901 Gleaves Street, Nashville",HearThisNashville Mural,"['tourist_attraction', 'point_of_interest', 'establishment']"
"2004 Hayes St, Nashville","2004 Hayes Street #150, Nashville",Mammography - Ascension Saint Thomas Center for Breast Health,"['health', 'point_of_interest', 'establishment']"
"2004 Hayes St, Nashville","2004 Hayes Street Suite 650, Nashville","Damita L. Bryant, MD, FAAPMR, MBA","['health', 'point_of_interest', 'establishment']"
"2004 Hayes St, Nashville","2004 Hayes Street #150, Nashville",Ascension Saint Thomas Midtown Center for Breast Health,"['health', 'point_of_interest', 'establishment']"
"2004 Hayes St, Nashville","2004 Hayes Street #140, Nashville",Marissa Mencio MD,"['doctor', 'health', 'point_of_interest', 'establishment']"
"2004 Hayes St, Nashville","2004 Hayes Street #205, Nashville",Jill Marie Weida FNP-BC,"['health', 'point_of_interest', 'establishment']"
"1801 Jefferson St, Nashville","1801 Jefferson Street, Nashville",The Powder Room Mobile,"['point_of_interest', 'store', 'establishment']"
"1801 Jefferson St, Nashville","1801 Jefferson Street, Nashville",SunTrust ATM,"['atm', 'finance', 'point_of_interest', 'establishment']"
